name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;984;0;682;3085;1205;3085;1113;0
header;151;92;151;146;1784;146;1784;92
A;958;162;958;189;980;189;980;162
B;1008;716;1008;734;1022;734;1022;716
B;968;836;968;866;990;866;990;836
C;975;1546;975;1574;996;1574;996;1546
A;849;1956;849;1963;856;1963;856;1956
D;1059;2277;1059;2293;1079;2293;1079;2277
B;753;2312;753;2327;773;2327;773;2312
C;1161;2431;1161;2459;1192;2459;1192;2431
D;984;2435;984;2462;1007;2462;1007;2435
C;1109;2607;1109;2635;1139;2635;1139;2607
